[OK] Fetching active + stale/unchecked catalog rows from Supabase...
[OK] 1175 row(s) due for a review check (unchecked or >182 days stale).
[1/1175] Illini Summer Academies... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[2/1175] Inspiring the Next Generation of Women in Physics... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[3/1175] LSU Summer Scholars Program... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[4/1175] “Blender” Camp... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[5/1175] 1-Week Medical Academy... mixed, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[6/1175] 3-Week Medical Academy... mixed, 0 search(es) [SILENT: no search invoked], $0.0015 [changed]
[7/1175] 4H-RU Program... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[8/1175] Academic Connections... positive, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[9/1175] Academic Immersion... mixed, 0 search(es) [SILENT: no search invoked], $0.0015 [changed]
[10/1175] Academic Internship... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[11/1175] Academic Summer Camps... positive, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[12/1175] Academy for Youth Success... positive, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[13/1175] Accelerated Learning Program (ALP)... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[14/1175] ACE... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0006 [changed]
[15/1175] Actuarial Science Camp... positive, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[16/1175] Advance Pre-College Program... mixed, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[17/1175] Advanced Bacteriophage Therapy – An Alternative to Antibioti... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[18/1175] Advanced Physics Summer Program... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[19/1175] Advanced Science Ambassador Program... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0006 [changed]
[20/1175] Aerospace Academy... mixed, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[21/1175] AggieSTEM... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[22/1175] AgTech Research Intern... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[23/1175] AI-Scholars Pre-College... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[24/1175] AI, Data & Ethics: Introduction to Public Interest Technolog... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[25/1175] AI4ALL Internship... positive, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
